,clean_text,pred_joy
0,"our  in  foot operated wash basin is now available for purchase follow the link to see a short video on how it works
httpstcokeeltwnpe

indiafightscorona covidindia coronavirus madeinindia staysafe supportlocal",0
1,"covidindia state of the states daily positivity vs daily tests

ignore the thick blue regression line and pay attention to the dashed redline which indicates level of positivity and which way it is trended with an increase in tests
boxplots on the axes indicate averages
 httpstcowsiuphuat",0
2,"we wrapped some of our hoaxbusters as a youtubeindia video 

httpstcopumfarimd

do watch and share

covid covidindia 
credits wormlockholmes ramyashetty and sravanthi nandiminti",0
3,ganjamadmin cmoodisha hfwodisha whats the reason behind increase of ve cases is increasing day by day in ganjam especially may god save all keep social distancing and save all covidindia ganjamtalks  odishafightscorona staysafe socialdistancing,0
4,vivekoberoi ihrithik can you guys please help the world with the antidote of corona covidindia coronavirus 🙂🙂🙂,0
5,plasma therapy should have been the mainstay of indias fight against covid we have  recovery among covid patients government must make plasma donation compulsory for anyone who recovers in a government facility covidindia,0
6,"indiafightscorona 
choice is yours
covidindia httpstcozgrtyslujf",1
7,"jobless and hopeless need your blessings and support please reach us in our tough time  my family needs your support
helpneed help support corona covidindia ourpmo 
 narendramodi hmoindia",0
8,covid safety products available covid mumbai vasai covidindia sanitizer n httpstcoprtldfase,0
9,"loosing job and slashing off salery was it not enough that mybestelectric have hiked bill  from  to  cmomaharashtra what steps government taking for middle class people who are obedient tax payer of this city 
hospitalityflag chef covidindia covid",0
10,siddaramaiah bjpindia narendramodi big blow to middle class people fuel is basic need from farmer to pm and using that to make money is harsh on daily lifes that too people have stopped using public transport due to covidindia and now center is using this opportunity to make money here,0
11,the maharashtra government on monday announced that it has extended the lockdown till july  in view of the steadily increasing covid cases in the state maharashtra officeofut authackeray covidindia,0
12,infographics covid india factsheet as on th june   am httpstcoxajlzhtegb dataportalindia mohfwindia nicmeity goimeity covidindia coronavirus indiafightscorona httpstcohkaeezvt,0
13,"hfwodisha the quarantine stamps are causing skin reaction   
this is the picture of my sister just returned yesterday 
quarantine covidindia odishafightscorona httpstcoszxubcikln",0
14,"please make a contribution i will give these masks to poor women because womens health is seldom a priority in households
covidindia pandemic httpstcoisqxaicjkf",0
